piste,nimi,x_gk25,y_gk25,suunta,aika,vuosi,ha,pa,ka,ra,la,mp,rv,autot
A04,MECHELININKATU,25495441,6673716,1.0,3.0,2011,30,2,1,0,0,0,0,173
A04,MECHELININKATU,25495441,6673716,1.0,4.0,2011,20,2,1,0,0,0,0,142
A04,MECHELININKATU,25495441,6673716,1.0,5.0,2011,38,4,3,0,0,0,0,229
A04,MECHELININKATU,25495441,6673716,1.0,6.0,2011,105,5,5,0,6,0,0,658
A04,MECHELININKATU,25495441,6673716,1.0,7.0,2011,73,3,2,0,1,0,0,420
A04,MECHELININKATU,25495441,6673716,1.0,7.15,2011,103,4,4,0,3,0,0,630
A04,MECHELININKATU,25495441,6673716,1.0,7.3,2011,130,4,6,0,4,1,0,735
A04,MECHELININKATU,25495441,6673716,1.0,7.45,2011,144,6,7,0,4,1,0,866
A04,MECHELININKATU,25495441,6673716,1.0,8.0,2011,126,23,7,1,2,0,0,870
A04,MECHELININKATU,25495441,6673716,1.0,8.15,2011,149,35,10,0,2,1,0,952
