Onnett_id,Vuosi,Kk,Kuolleet,Loukkaant,Vakavuusko,Tunti,Ontyyppi,Onluokka,Osallkm,Nopraj,Kvl,Raskaskvl,Tietyö,Katuosoite,accident-index
6763257,2011,4,0,1,2,16,8,6,3,70,21497.0,1224.0,E,VIHDINTIE,183
6662077,2011,12,0,0,0,17,6,6,3,70,21497.0,1224.0,E,KEHÄ 1,184
6682829,2011,11,0,0,0,17,8,6,3,70,21497.0,1224.0,E,KEHÄ 1,185
6682915,2011,12,0,0,0,17,7,6,2,70,21497.0,1224.0,E,VIHDINTIE,186
6691203,2011,11,0,0,0,13,6,6,2,70,21497.0,1224.0,E,VIHDINTIE,187
6863021,2011,8,0,0,0,8,6,6,3,70,21497.0,1224.0,E,VIHDINTIE,188
6815386,2011,5,0,0,0,7,2,3,2,70,21497.0,1224.0,E,VIHDINTIE,189
6614637,2011,12,0,0,0,5,40,4,2,70,21497.0,1224.0,E,VIHDINTIE,190
6506902,2011,1,0,0,0,21,50,4,2,70,21497.0,1224.0,E,VIHDINTIE,191
6663517,2011,12,0,0,0,7,59,4,2,70,21497.0,1224.0,E,VIHDINTIE,192
6661917,2011,12,0,1,2,17,39,2,2,80,21497.0,1224.0,E,VIHDINTIE,193
6663311,2011,1,0,0,0,19,6,6,2,70,21497.0,1224.0,E,VIHDINTIE,194
6742861,2011,10,0,1,2,7,62,9,2,70,21090.0,1182.0,E,VIHDINTIE,195
6815329,2011,5,0,0,0,10,11,8,2,40,21090.0,1182.0,E,VIHDINTIE,196
6684494,2011,11,0,0,0,12,6,6,3,80,21090.0,1182.0,E,VIHDINTIE,197
6719950,2011,10,0,1,2,21,64,9,2,60,21090.0,1182.0,E,VIHDINTIE,198
6475252,2011,2,0,1,2,17,6,6,2,70,21090.0,1182.0,E,VIHDINTIE,199
6839908,2011,5,0,0,0,16,7,6,2,70,21090.0,1182.0,E,VIHDINTIE,200
6770975,2011,10,0,0,0,14,6,6,2,70,21090.0,1182.0,E,VIHDINTIE,201
6886600,2011,7,0,1,2,14,8,6,2,70,21090.0,1182.0,E,VIHDINTIE,202
6881186,2011,7,0,0,0,17,2,3,2,50,12896.0,672.0,E,ITÄVÄYLÄ,203
6654435,2011,12,0,0,0,13,6,6,2,50,12896.0,672.0,E,ITÄVÄYLÄ,204
6763824,2011,5,0,0,0,1,80,1,1,60,12896.0,672.0,E,KEHÄ 1,205
6713070,2011,12,0,0,0,15,96,13,2,50,12896.0,672.0,E,ITÄVÄYLÄ,206
6504023,2011,2,0,0,0,16,7,6,2,60,12896.0,672.0,E,ITÄVÄYLÄ,207
6863138,2011,9,0,0,0,16,8,6,3,60,12896.0,672.0,E,ITÄVÄYLÄ,208
6863594,2011,4,0,0,0,20,6,6,2,50,12896.0,672.0,E,ITÄVÄYLÄ,209
6786770,2011,8,0,0,0,9,4,3,2,60,12896.0,672.0,E,ITÄVÄYLÄ,210
6903921,2011,7,0,0,0,12,8,6,2,60,12896.0,672.0,E,ITÄVÄYLÄ,211
6792121,2011,5,0,0,0,13,8,6,2,50,12896.0,672.0,E,ITÄVÄYLÄ,212
6583400,2011,12,0,0,0,17,91,13,3,60,12896.0,672.0,E,ITÄVÄYLÄ,213
6654816,2011,11,0,0,0,14,2,3,2,60,12896.0,672.0,E,ITÄVÄYLÄ,214
6691059,2011,11,0,0,0,17,6,6,3,60,12896.0,672.0,E,ITÄVÄYLÄ,215
6582733,2011,1,0,1,2,18,29,5,3,60,12896.0,672.0,E,ITÄVÄYLÄ,216
6815509,2011,6,0,0,0,15,30,2,2,60,12896.0,672.0,E,ITÄVÄYLÄ,217
6506925,2011,1,0,0,0,17,53,4,2,60,12896.0,672.0,E,ITÄVÄYLÄ,218
6886034,2011,8,0,0,0,16,6,6,3,60,12896.0,672.0,E,ITÄVÄYLÄ,219
6913438,2011,7,0,0,0,6,86,1,1,40,12896.0,672.0,K,ITÄVÄYLÄ,220
6863501,2011,5,0,1,2,13,62,9,2,60,12896.0,672.0,E,ITÄVÄYLÄ,221
6607902,2011,3,0,0,0,16,8,6,4,60,12896.0,672.0,E,ITÄVÄYLÄ,222
6886527,2011,5,0,0,0,16,2,3,2,50,12896.0,672.0,E,ITÄVÄYLÄ,223
6785289,2011,4,0,1,2,18,8,6,3,60,12896.0,672.0,E,ITÄVÄYLÄ,224
6736775,2011,11,0,0,0,16,8,6,2,60,12896.0,672.0,E,ITÄVÄYLÄ,225
6887257,2011,8,0,2,2,18,8,6,2,60,12896.0,672.0,E,ITÄVÄYLÄ,226
6572065,2011,12,0,0,0,19,8,6,2,60,12896.0,672.0,E,LÄNSIMÄENTIE,227
6547664,2011,1,0,0,0,11,40,4,2,50,12896.0,672.0,E,ITÄVÄYLÄ,228
6523203,2011,2,0,0,0,17,7,6,2,60,12896.0,672.0,E,ITÄVÄYLÄ,229
6662971,2011,3,0,0,0,9,8,6,2,60,12896.0,672.0,E,ITÄVÄYLÄ,230
6785628,2011,8,0,0,0,12,8,6,2,60,12207.0,407.0,E,ITÄVÄYLÄ,231
6548234,2011,12,0,0,0,20,81,1,1,60,12207.0,407.0,E,ITÄVÄYLÄ,232
6719059,2011,10,0,0,0,6,90,11,2,60,6002.0,480.0,E,UUSI PORVOONTIE,233
6683402,2011,3,0,0,0,13,30,2,2,60,6002.0,480.0,E,UUSI PORVOONTIE,234
6473855,2011,2,0,1,2,17,6,6,2,60,6002.0,480.0,E,KNUTERSINTIE,235
6903876,2011,7,0,0,0,13,80,1,1,60,6002.0,480.0,E,UUSI PORVOONTIE,236
6471116,2011,2,0,1,2,19,29,5,2,80,1864.0,54.0,E,KNUTERSINTIE,237
6900478,2011,5,0,0,0,17,8,6,2,80,3734.0,,E,KEHÄ 1,238
6654784,2011,12,0,0,0,14,82,1,1,80,3734.0,,E,KEHÄ 1,239
6475398,2011,2,0,2,2,7,6,6,3,80,3299.0,144.0,E,HÄMEENLINNANVÄYLÄ,240
6673041,2011,4,0,0,0,8,2,3,2,70,2585.0,,E,KEHÄ 1,241
6791877,2011,9,0,0,0,19,40,4,2,50,2624.0,,E,KEHÄ 1,242
6815619,2011,9,0,0,0,13,93,1,1,80,2624.0,,E,KEHÄ 1,243
6781467,2011,10,0,0,0,10,6,6,2,80,2624.0,,E,KEHÄ 1,244
6886100,2011,8,0,1,2,17,89,1,1,80,8793.0,,E,HÄMEENLINNANVÄYLÄ,245
6869165,2011,8,0,1,2,2,82,1,1,80,8793.0,,E,KEHÄ 1,246
6815405,2011,8,0,0,0,19,89,1,1,80,8793.0,,E,KEHÄ 1,247
6869217,2011,8,0,0,0,21,89,1,1,80,10659.0,,E,KEHÄ 1,248
6713260,2011,10,0,0,0,16,8,6,2,80,10659.0,,E,KEHÄ 1,249
6869648,2011,8,0,0,0,18,4,3,2,80,10659.0,,E,HÄMEENLINNANVÄYLÄ,250
6663197,2011,3,0,0,0,14,30,2,2,50,10659.0,,E,HÄMEENLINNANVÄYLÄ,251
6863351,2011,8,0,0,0,11,85,1,1,80,10659.0,,E,HÄMEENLINNANVÄYLÄ,252
6765180,2011,9,0,0,0,9,82,1,1,80,10659.0,,E,KEHÄ 1,253
6921499,2011,7,0,0,0,16,7,6,4,50,8541.0,289.0,E,LAHDENVÄYLÄ,254
6713202,2011,10,0,0,0,10,30,2,2,50,309.0,60.0,E,LAHDENVÄYLÄ,255
6839583,2011,5,0,0,0,19,8,6,3,50,,,E,LAHDENVÄYLÄ,256
6719213,2011,10,0,0,0,14,99,13,2,80,7821.0,209.0,E,LAHDENVÄYLÄ,257
6574559,2011,12,0,1,2,24,83,1,1,80,2294.0,,E,KEHÄ 1,258
6763313,2011,10,0,0,0,20,6,6,2,100,6666.0,,E,LAHDENVÄYLÄ,259
6815488,2011,9,0,0,0,3,84,1,1,80,11894.0,,E,LAHDENVÄYLÄ,260
6791788,2011,6,0,1,2,4,82,1,1,80,8703.0,310.0,E,LAHDENVÄYLÄ,261
