Onnett_id,Tienpit,Tie,Aosa,Aet,Ajr,Vuosi,Kk,Päivä,Kuolleet,Loukkaant,Vakavuusko,Tunti,Vkpv,Ontyyppi,Onluokka,Osallkm,Nopraj,Taajmerk,Pinta,Valoisuus,Sää,Onnpaikka,Liikvalot,Liittyvtie,Noplaji,Nopsuunvas,Nopsuunoik,Taajama,Mo_mol,Toimluokka,Kvl,Raskaskvl,Tienlev,X,Y,Tietyö,Päällyste,Lämpötila,Risteys,Katuosoite,Tietyyppi,Lisäkaisty,Solmutyyp,Liitluok,Lähliittie,Suuntlkm,Toimenpide,Valaisomis,Poikkileik,Päällyslev,Päällystlk
6771005,1,4.0,103.0,1247.0,2.0,2011,10,07.10.2011,0,0,0,7,Perjantai,8,6,3,100,0,2,4,1,1,-1,,1,100,100,E,1,1,40377.0,4517.0,333.0,392406.0,6680293.0,E,1,11.0,0,LAHDENVÄYLÄ                             ,-1,3,-1,-1,,,1,1,2,150.0,10
6494191,1,4.0,103.0,1325.0,1.0,2011,2,11.02.2011,0,0,0,14,Perjantai,3,3,4,100,0,6,1,1,1,-1,,1,100,100,E,1,1,40377.0,4517.0,333.0,392476.0,6680334.0,E,1,-10.0,0,LAHDENVÄYLÄ                             ,-1,3,-1,-1,,,1,1,2,150.0,10
6737009,1,4.0,103.0,1558.0,2.0,2011,4,27.04.2011,0,0,0,7,Keskiviikko,2,3,2,100,0,1,1,1,1,-1,,1,100,100,E,1,1,40377.0,4517.0,333.0,392617.0,6680520.0,E,1,8.0,0,"LAHDENVÄYLÄ (ETELÄÄN),TATTARIHARJUN KOHD",-1,3,-1,-1,,,1,1,2,150.0,10
6583418,1,4.0,103.0,1740.0,2.0,2011,11,21.11.2011,0,0,0,8,Maanantai,7,6,4,80,0,1,4,1,1,-1,,1,100,100,E,1,1,40377.0,4517.0,333.0,392722.0,6680667.0,E,1,-1.0,0,LAHDENVÄYLÄ                             ,-1,-1,-1,-1,,,1,1,2,120.0,10
6800564,1,4.0,103.0,2127.0,2.0,2011,5,18.05.2011,0,0,0,8,Keskiviikko,6,6,2,80,0,2,1,2,1,-1,,1,100,100,E,1,1,40377.0,4517.0,333.0,392899.0,6681009.0,E,1,14.0,0,LAHDENVÄYLÄ                             ,-1,-1,-1,-1,,,1,1,2,120.0,10
6763366,1,4.0,103.0,2219.0,2.0,2011,10,08.10.2011,0,0,0,20,Lauantai,6,6,2,100,0,2,4,2,1,-1,,1,100,100,E,1,1,47251.0,2649.0,263.0,392935.0,6681094.0,E,1,10.0,0,LAHDENVÄYLÄ                             ,-1,-1,-1,-1,,,1,1,2,120.0,10
6654833,1,4.0,103.0,2240.0,1.0,2011,12,11.12.2011,0,0,0,18,Sunnuntai,81,1,1,100,0,1,4,2,1,-1,,1,100,100,E,1,1,47251.0,2649.0,263.0,392958.0,6681105.0,E,1,2.0,0,LAHDENVÄYLÄ                             ,-1,-1,-1,-1,,,1,1,2,120.0,10
6546620,1,4.0,103.0,2737.0,1.0,2011,2,01.02.2011,0,0,0,7,Tiistai,8,6,3,100,0,6,4,1,1,-1,,1,100,100,E,1,1,47251.0,2649.0,263.0,393146.0,6681565.0,E,1,-3.0,0,"LAHDENVÄYLÄ, E75",-1,-1,-1,-1,,,1,1,2,120.0,10
6742739,1,4.0,103.0,3239.0,1.0,2011,4,09.04.2011,0,1,2,18,Lauantai,81,1,1,100,0,1,1,1,1,-1,,1,100,100,E,1,1,47251.0,2649.0,263.0,393335.0,6682030.0,E,1,9.0,0,LAHDENVÄYLÄ                             ,-1,-1,-1,-1,,,1,1,2,120.0,10
6626243,1,4.0,103.0,4612.0,2.0,2011,1,09.01.2011,0,0,0,10,Sunnuntai,83,1,1,80,0,5,1,6,1,-1,,1,100,100,E,1,1,47251.0,2649.0,271.0,394066.0,6683181.0,E,1,1.0,0,LAHDENVÄYLÄ X KEHÄ III                  ,-1,-1,-1,-1,,,1,1,2,120.0,10
6900536,1,4.0,103.0,4639.0,1.0,2011,6,24.06.2011,0,0,0,15,Perjantai,3,3,2,100,0,1,1,1,1,-1,,1,100,100,E,1,1,47251.0,2649.0,271.0,394101.0,6683189.0,E,1,22.0,0,LAHDENVÄYLÄ                             ,-1,-1,-1,-1,,,1,1,2,120.0,10
6615437,1,7.0,1.0,73.0,2.0,2011,3,15.03.2011,0,1,2,16,Tiistai,83,1,1,100,0,6,1,1,1,-1,,1,100,100,E,1,1,16183.0,1146.0,241.0,393298.0,6681096.0,E,1,0.0,0,PORVOONVÄYLÄ                            ,-1,-1,-1,-1,,,1,1,2,120.0,10
6654540,1,7.0,1.0,102.0,1.0,2011,3,16.03.2011,0,0,0,16,Keskiviikko,82,1,1,100,0,2,1,1,1,-1,,1,100,100,E,1,1,16183.0,1146.0,241.0,393324.0,6681081.0,E,1,2.0,0,PORVOONVÄYLÄ                            ,-1,-1,-1,-1,,,1,1,2,120.0,10
6683030,1,7.0,1.0,182.0,1.0,2011,12,05.12.2011,0,0,0,18,Maanantai,9,13,2,100,0,-1,3,-1,1,-1,,1,100,100,E,1,1,16183.0,1146.0,241.0,393404.0,6681089.0,E,1,4.0,0,PORVOONVÄYLÄ                            ,-1,-1,-1,-1,,,1,1,2,120.0,10
6763458,1,7.0,1.0,187.0,2.0,2011,9,27.09.2011,0,0,0,9,Tiistai,9,13,2,100,0,2,2,4,1,-1,,1,100,100,E,1,1,16183.0,1146.0,241.0,393411.0,6681107.0,E,1,10.0,0,PORVOON VÄYLÄ KESK SUUNT                ,-1,-1,-1,-1,,,1,1,2,120.0,10
6880704,1,7.0,1.0,270.0,1.0,2011,8,03.08.2011,0,0,0,21,Keskiviikko,99,13,1,120,0,1,1,1,8,-1,,1,100,100,E,1,1,16183.0,1146.0,241.0,393491.0,6681098.0,E,1,20.0,0,PORVOONVÄYLÄ                            ,-1,-1,-1,-1,,,1,1,2,120.0,10
6713063,1,7.0,1.0,311.0,2.0,2011,11,30.11.2011,0,0,0,20,Keskiviikko,81,1,1,100,0,2,4,2,1,-1,,1,100,100,E,1,1,16183.0,1146.0,241.0,393532.0,6681124.0,E,1,6.0,0,"PORVOONVÄYLÄ, (TIE 7)",-1,-1,-1,-1,,,1,1,2,120.0,10
6763241,1,7.0,1.0,338.0,2.0,2011,10,31.10.2011,0,0,0,2,Maanantai,90,10,2,100,0,2,4,4,1,-1,,1,100,100,E,1,1,16183.0,1146.0,241.0,393559.0,6681128.0,E,1,10.0,0,PORVOONVÄYLÄ                            ,-1,-1,-1,-1,,,1,1,2,120.0,10
6654654,1,7.0,2.0,1224.0,2.0,2011,5,04.05.2011,0,0,0,8,Keskiviikko,99,13,2,120,0,1,1,1,1,-1,,1,120,120,E,1,1,28313.0,2430.0,241.0,397397.0,6681961.0,E,1,2.0,0,VT 7,-1,-1,-1,-1,,,1,1,2,120.0,10
6547903,1,7.0,2.0,1813.0,2.0,2011,1,07.01.2011,0,0,0,12,Perjantai,89,1,1,100,0,6,1,5,1,-1,,1,120,120,E,1,1,28313.0,2430.0,241.0,397971.0,6682080.0,K,1,-3.0,0,PORVOONVÄYLÄ 3 KM LANDBON LIITT.H:KIIN,-1,-1,-1,-1,,,1,1,2,120.0,10
6886099,1,7.0,2.0,2480.0,2.0,2011,7,29.07.2011,0,0,0,6,Perjantai,93,1,1,120,0,1,1,1,1,-1,,1,120,120,E,1,1,28313.0,2430.0,241.0,398628.0,6681987.0,E,1,20.0,0,PORVOONVÄYLÄ                            ,-1,-1,-1,-1,,,1,1,2,120.0,10
